0.38,0.2607,68,370,2.7,3.98,5
0.38,0.2607,68,370,2.7,3.98,2
0.38,0.2607,68,370,2.7,3.98,1
0.38,0.2607,68,370,2.7,3.98,0
1.03,0.261,200,370,7.8,3.98,6
1.03,0.261,200,370,7.8,3.98,4.5
1.03,0.261,200,370,7.8,3.98,2
1.03,0.261,200,370,7.8,3.98,0
0.00018,0.135,0.002701,105,1.9,8.553,5
0.00018,0.135,0.002701,105,1.9,8.553,2
0.00017,0.135,0.002434,105,1.9,8.553,5
0.00017,0.135,0.002434,105,1.9,8.553,2
0.000115,0.135,0.001716,105,1.9,8.553,5
0.000115,0.135,0.001716,105,1.9,8.553,2
0.000135,0.135,0.003392,105,1.9,8.553,5
0.000135,0.135,0.003392,105,1.9,8.553,2
0.000115,0.135,0.002145,105,1.9,8.553,5
0.000115,0.135,0.002145,105,1.9,8.553,2
0.000115,0.135,0.002193,105,1.9,8.553,5
0.000115,0.135,0.002193,105,1.9,8.553,2
0.000185,0.135,0.004176,105,1.9,8.553,5
0.000185,0.135,0.004176,105,1.9,8.553,2
0.000215,0.135,0.003618,105,1.9,8.553,5
0.000215,0.135,0.003618,105,1.9,8.553,2
0.00013,0.135,0.003036,105,1.9,8.553,5
0.00013,0.135,0.003036,105,1.9,8.553,2
0.0002,0.135,0.004727,105,1.9,8.553,5
0.0002,0.135,0.004727,105,1.9,8.553,2
0.00015,0.135,0.002866,105,1.9,8.553,5
0.00015,0.135,0.002866,105,1.9,8.553,2
0.000155,0.135,0.003143,105,1.9,8.553,5
0.000155,0.135,0.003143,105,1.9,8.553,2
0.000135,0.135,0.003166,105,1.9,8.553,5
0.000135,0.135,0.003166,105,1.9,8.553,2
0.00021,0.135,0.004085,105,1.9,8.553,5
0.00021,0.135,0.004085,105,1.9,8.553,2
0.000135,0.135,0.002514,105,1.9,8.553,5
0.000135,0.135,0.002514,105,1.9,8.553,2
0.000145,0.135,0.002159,105,1.9,8.553,5
0.000145,0.135,0.002159,105,1.9,8.553,2
